"","X","order","Col2","S_ID","sample.","site","month","day","microsite","rep","method","location","quantity","order.1","family","subfamily","Col16","genus","species","highest.rtu","Size..mm.","width","sex","Col23","uniID"
"75",780,2014,NA,NA,NA,"Lok","July",17,"shrub",4,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyshrub4"
"76",781,2024,NA,NA,NA,"Lok","July",17,"shrub",5,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyshrub5"
"77",782,2130,NA,NA,NA,"Lok","Sept",26,"shrub",8,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokSeptshrub8"
"78",783,1961,NA,NA,NA,"Lok","Aug",6,"shrub",10,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokAugshrub10"
"79",784,2065,NA,NA,NA,"Lok","July",17,"shrub",11,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokJulyshrub11"
"80",785,1973,NA,NA,NA,"Lok","Aug",6,"shrub",12,"PT","ET",4,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"LokAugshrub12"
"81",786,2502,NA,NA,NA,"Mov","Sept",16,"open",5,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor ","Dorymyrmexbicolor",NA,NA,NA,NA,"MovSeptopen5"
"82",787,2514,NA,NA,NA,"Mov","Sept",16,"open",6,"PT","ET",7,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor ","Dorymyrmexbicolor",NA,NA,NA,NA,"MovSeptopen6"
"83",788,2534,NA,NA,NA,"Mov","Sept",16,"open",7,"PT","ET",16,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"MovSeptopen7"
"84",789,2542,NA,NA,NA,"Mov","Sept",16,"open",8,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"MovSeptopen8"
"85",790,2251,NA,NA,NA,"Mov","Aug",16,"open",9,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"MovAugopen9"
"86",791,2271,NA,NA,NA,"Mov","Aug",16,"open",11,"PT","ET",6,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"MovAugopen11"
"87",792,2523,NA,NA,NA,"Mov","Sept",16,"shrub",6,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor ","Dorymyrmexbicolor",NA,NA,NA,NA,"MovSeptshrub6"
"88",793,2283,NA,NA,NA,"Mov","Aug",16,"shrub",11,"PT","ET",7,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"MovAugshrub11"
"89",794,3140,NA,NA,NA,"SemiT","Sept",27,"open",2,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptopen2"
"90",795,3163,NA,NA,NA,"SemiT","Sept",27,"open",5,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptopen5"
"91",796,3169,NA,NA,NA,"SemiT","Sept",27,"open",6,"PT","ET",13,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptopen6"
"92",797,2977,NA,NA,NA,"SemiT","Aug",9,"open",7,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTAugopen7"
"93",798,3189,NA,NA,NA,"SemiT","Sept",27,"open",9,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptopen9"
"94",799,3193,NA,NA,NA,"SemiT","Sept",27,"open",10,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptopen10"
"95",800,3015,NA,NA,NA,"SemiT","Aug",9,"open",12,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTAugopen12"
"96",801,2946,995,NA,NA,"SemiT","Aug",9,"shrub",3,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTAugshrub3"
"97",802,3158,NA,NA,NA,"SemiT","Sept",27,"shrub",4,"PT","ET",2,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptshrub4"
"98",803,2967,NA,NA,NA,"SemiT","Aug",9,"shrub",5,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTAugshrub5"
"99",804,3067,NA,NA,NA,"SemiT","July",18,"shrub",5,"PT","ET",10,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTJulyshrub5"
"100",805,3201,NA,NA,NA,"SemiT","Sept",27,"shrub",12,"PT","ET",3,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SemiTSeptshrub12"
"101",806,3364,NA,NA,NA,"SiCr","July",23,"open",4,"PT","ET",6,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SiCrJulyopen4"
"102",807,3343,NA,NA,NA,"SiCr","July",23,"shrub",2,"PT","ET",1,"Hymenoptera","Formicidae",NA,NA,"Dorymyrmex","bicolor","Dorymyrmexbicolor",NA,NA,NA,NA,"SiCrJulyshrub2"
