"","Cyphomyrmexwheeleri","Dorymyrmexbicolor","Dorymyrmexinsanus","Foreliuspruinosis","Messorandrei","Messorpergandei","Myrmecocystus","Pheidolehyatti","Pogonomyrmexcalifornicus","Solenopsisaurea","Solenopsismolesta","Solenopsisxyloni","Temnothoraxandrei","uniID"
"411",0,0,0,0,0,0,0,21,0,0,0,0,0,"PaPlSeptshrub3"
"412",0,0,0,0,0,0,0,17,0,0,0,0,1,"PaPlSeptshrub4"
"413",0,0,0,0,0,0,0,16,0,0,0,0,0,"PaPlSeptshrub5"
"414",0,0,0,0,0,0,0,9,0,0,0,0,0,"PaPlSeptshrub6"
"415",0,0,0,0,3,0,0,1,0,0,0,0,0,"PaPlSeptshrub7"
"416",0,0,0,0,1,0,0,13,0,0,0,2,0,"PaPlSeptshrub8"
"417",0,0,0,0,0,0,0,5,0,0,0,0,0,"PaPlSeptshrub9"
"418",0,0,0,0,0,0,0,0,0,0,0,6,0,"SemiTAugopen1"
"419",0,1,0,0,0,0,0,1,0,0,0,0,0,"SemiTAugopen12"
"420",0,0,0,0,0,0,0,0,0,0,0,9,0,"SemiTAugopen2"
"421",0,0,0,0,0,0,2,0,0,0,0,1,0,"SemiTAugopen5"
"422",0,1,0,0,0,0,0,0,0,0,0,2,0,"SemiTAugopen7"
"423",0,0,0,0,0,0,1,0,0,0,0,0,0,"SemiTAugopen9"
"424",0,0,0,0,0,0,0,0,0,0,0,2,0,"SemiTAugshrub1"
"425",0,0,0,0,0,0,0,1,0,0,0,0,0,"SemiTAugshrub12"
"426",0,0,0,0,0,0,0,0,0,0,0,1,0,"SemiTAugshrub2"
"427",0,1,0,0,0,0,0,0,0,0,0,0,0,"SemiTAugshrub3"
"428",0,1,0,0,0,0,0,0,0,0,0,0,0,"SemiTAugshrub5"
"429",0,0,0,0,0,0,0,0,0,0,0,6,0,"SemiTAugshrub6"
"430",0,0,0,0,0,0,0,0,0,0,0,1,0,"SemiTAugshrub8"
"431",0,0,0,0,0,0,0,12,0,0,0,0,0,"SemiTAugshrub9"
"432",0,0,0,0,0,0,0,0,0,0,0,10,0,"SemiTJulyopen1"
"433",0,0,0,0,0,0,0,0,0,0,0,4,0,"SemiTJulyopen10"
"434",0,0,0,0,0,0,0,0,0,0,0,6,0,"SemiTJulyopen11"
"435",0,0,0,0,0,0,0,0,0,0,0,2,0,"SemiTJulyopen12"
"436",0,0,0,0,0,0,0,0,0,0,0,31,0,"SemiTJulyopen2"
"437",0,0,0,0,0,0,0,0,0,0,0,6,0,"SemiTJulyopen3"
"438",0,0,0,0,0,0,0,0,0,0,0,4,0,"SemiTJulyopen4"
"439",0,0,0,0,0,0,0,0,0,0,0,14,0,"SemiTJulyopen6"
"440",0,0,0,0,0,0,0,0,0,0,0,16,0,"SemiTJulyopen7"
"441",0,0,0,0,0,0,0,0,0,0,0,30,0,"SemiTJulyopen8"
"442",0,0,0,0,0,0,0,0,0,0,0,3,0,"SemiTJulyopen9"
"443",0,0,0,0,0,0,0,0,0,0,0,45,0,"SemiTJulyshrub1"
"444",0,0,0,0,0,0,0,12,0,0,0,5,0,"SemiTJulyshrub12"
"445",0,0,0,0,0,0,0,0,0,0,0,37,0,"SemiTJulyshrub2"
"446",0,0,0,0,0,0,0,0,0,0,0,3,0,"SemiTJulyshrub4"
"447",0,10,0,0,0,0,0,0,0,0,0,20,0,"SemiTJulyshrub5"
"448",0,0,0,0,0,0,0,0,0,0,0,8,0,"SemiTJulyshrub6"
"449",0,0,0,0,0,0,0,1,0,0,0,7,0,"SemiTJulyshrub7"
"450",0,0,0,0,0,0,0,0,0,0,0,9,0,"SemiTJulyshrub8"
"451",0,0,0,0,0,0,0,0,0,0,0,2,0,"SemiTJulyshrub9"
"452",0,0,0,0,0,0,0,0,0,0,0,22,0,"SemiTSeptopen1"
"453",0,1,0,0,0,0,0,0,0,0,0,1,0,"SemiTSeptopen10"
"454",0,0,0,0,0,0,0,0,0,0,0,2,0,"SemiTSeptopen11"
"455",0,0,0,0,0,0,0,0,0,0,0,7,0,"SemiTSeptopen12"
"456",0,1,0,0,0,0,0,0,0,0,0,8,0,"SemiTSeptopen2"
"457",0,0,0,0,0,0,0,0,0,0,0,1,0,"SemiTSeptopen3"
"458",0,0,0,0,0,0,0,0,0,0,0,1,0,"SemiTSeptopen4"
"459",0,1,0,0,0,0,0,0,0,0,0,2,0,"SemiTSeptopen5"
"460",0,13,0,0,0,0,0,0,0,0,0,2,0,"SemiTSeptopen6"
"461",0,0,0,0,0,0,0,0,0,0,0,8,0,"SemiTSeptopen7"
"462",0,1,0,0,0,0,0,0,0,0,0,0,0,"SemiTSeptopen9"
"463",0,0,0,0,0,0,0,0,0,0,0,9,0,"SemiTSeptshrub1"
"464",0,3,0,0,0,0,0,0,0,0,0,11,0,"SemiTSeptshrub12"
"465",0,0,0,0,0,0,0,0,0,0,0,8,0,"SemiTSeptshrub2"
"466",0,0,0,0,0,0,0,0,0,0,0,2,0,"SemiTSeptshrub3"
"467",0,2,0,0,0,0,0,0,0,0,0,0,0,"SemiTSeptshrub4"
"468",0,0,0,0,0,0,0,0,0,0,0,1,0,"SemiTSeptshrub5"
"469",0,0,0,0,0,0,0,0,0,0,0,3,0,"SemiTSeptshrub6"
"470",0,0,0,0,0,0,0,0,0,0,0,13,0,"SemiTSeptshrub7"
"471",0,0,0,0,0,0,0,0,0,0,0,3,0,"SemiTSeptshrub8"
"472",0,0,0,0,0,0,0,1,0,0,0,3,0,"SiCrAugopen1"
"473",0,0,0,0,0,0,0,0,0,0,0,6,0,"SiCrAugopen10"
"474",0,0,0,1,0,0,0,1,0,0,0,28,0,"SiCrAugopen2"
"475",1,0,0,0,0,0,0,23,0,0,0,2,0,"SiCrAugopen3"
"476",0,0,0,0,0,0,0,4,0,0,0,0,0,"SiCrAugopen4"
"477",0,0,0,0,0,0,0,0,0,0,0,14,0,"SiCrAugopen5"
"478",0,0,0,0,0,0,0,19,0,0,0,23,0,"SiCrAugshrub1"
"479",0,0,0,0,0,0,0,21,0,0,0,27,0,"SiCrAugshrub10"
"480",0,0,0,0,0,0,0,1,0,0,0,7,0,"SiCrAugshrub2"
"481",0,0,0,0,0,0,0,11,0,0,0,0,0,"SiCrAugshrub3"
"482",0,0,0,0,0,0,0,2,0,0,0,16,0,"SiCrAugshrub4"
"483",0,0,0,0,0,0,0,1,0,0,0,79,0,"SiCrAugshrub5"
